Influencer_Id;Post_Id;Post_URL;Number_of_comments
1827656;139752634;http://www.proudduck.com/2015/08/a-special-gathering/;-1
760850;39749493;http://sarahmhawkinson.blogspot.com/2012/01/new-causeway-mall.html;2
2357148;128629834;http://livingthehealthychoice.com/peanut-butter-granola-bars/;14
325692;140884430;http://alwaysjudging.com/miami-horror-love-like-mine-cleopold-remix/;-1
927404;140945487;http://feeds.thekitchn.com/~r/apartmenttherapy/thekitchn/~3/K96SkxFs5J0/5-curved-kitchen-counters-that-are-beyond-the-straight-narrow-223078;-1
324433;140880686;http://stylebubble.co.uk/style_bubble/2015/08/once-upon-a-shoe.html;7
1292080;139179043;http://theanamumdiary.co.uk/2015/08/13/sengled-pulse/;-1
985602;111839159;http://www.bellossy.co/2013/05/spring-fever.html;13
2133776;115192433;http://eclecticintrospections.blogspot.com/2015/04/sisterhoof-of-world-bloggers-award.html;12
883528;133144041;http://cat-arzyna.blogspot.com/2015/07/provence-i-love-you.html;59
1050634;132240831;http://gypsetgoddess.com/nizuc-resort-and-spa/;-1
1454070;137433339;http://roxanashomebaking.com/mms-peanut-butter-cake-with-peanut-butter-frosting-recipe/;5
326050;140877810;http://www.theelginavenue.com/2015/08/black-denim-dungarees.html;2
886174;140945816;http://www.sequinsandthings.com/2015/08/rails-tunic-dress-fall-outfit.html;12
1447275;139978595;http://www.100layercakelet.com/2015/08/20/soft-pink-girls-nursery-and-newborn-photos-by-lauren-ann-photography/;-1
2424224;133660177;http://www.bigbeautifulblackgirls.com/is-big-new-beautiful/;0
942512;10314033;http://sunday-suppers.blogspot.com/2010/03/beet-sandwich-with-ricotta-orange.html;-1
1447328;139437309;http://www.africanprintinfashion.com/2015/08/its-africa-inspired-what-to-wear-at-a-festival.html;0
1051092;138997818;http://www.adventuresinfashion.ca/2015/08/in-bag.html;1
54;141156869;http://withlovefromkat.com/summer-to-fall-transition/;27
1374568;139388517;http://www.barefeetinthekitchen.com/2015/08/weekly-meal-plan-8-17-2015.html;0
748285;141112392;http://dgmanila.com/2015/08/the-lazy-blazer/;11
2389144;140526606;http://www.heynadine.com/10-uncommon-canadian-adventures/;1
48072;106775870;http://www.hanneli.com/frame/;-1
1448539;141144468;http://wtvr.com/2015/08/24/wiz-khalifa-i-was-restrained-for-riding-a-hoverboard/;-1
1086857;141116954;http://granmisterio.org/2015/08/25/las-13-familias-que-controlan-el-mundo-la-gran-conspiracion-ivjornadasonline/;-1
326373;139986630;http://www.dylanasuarez.com/2015/08/august-2015-playlist.html;5
1274569;132825726;http://woodtv.com/2015/07/31/beijing-selected-to-host-2022-winter-olympics/;8
326227;138616309;http://mariezamboli.com/versace-pop-medusa-sunglasses/;4
1454905;139994268;http://highschoolsports.oregonlive.com/news/article/1375836375108820370/sunset-football-season-opens-on-the-road-at-spiegelberg-stadium-playing-south-medford-2015-schedule-preview/;0
2377054;138059359;http://fisti.ru/beauty/1417705163;-1
325889;140885153;http://www.miarmarioenruinas.com/what-i-wore-at-zalando-summer-house/;18
899665;140940589;http://www.studiodiy.com/2015/08/18/diy-glittery-graphic-pencil-cases/;-1
1030038;141054944;http://alinaceusan.net/2015/08/24/how-to-make-monday-your-bitch-or-any-other-day/;32
1464720;138547624;http://healthyvoyager.com/what-steps-can-i-take-to-optimize-my-health/;-1
755744;140906252;http://www.mydubio.com/mydubio-in-vt-wonen-magazine/;-1
908251;140068399;http://www.milenalesecret.de/2015/08/back-in-hamburg/;-1
790403;140911653;http://elisabettabertolini.com/2015/08/clement-dezelus-promod.html;5
878336;136494611;http://www.browneyedbaker.com/the-weekend-dish-882015/;-1
1136771;132392328;http://thechroniclesofher.blogspot.com/2015/07/what-to-wear-to-music-festival.html;21
1271621;140417034;http://clashdaily.com/2015/08/what-the-detroit-police-just-said-will-not-make-liberal-jackasses-happy/;33
